
"CÓDIGO","PROCEDIMENTO",""
"0401010015","CURATIVO  GRAU II  C/ OU S/ DEBRIDAMENTO",""
"0401010023","CURATIVO GRAU I C/ OU S/ DEBRIDAMENTO",""
"0401010031","DRENAGEM DE ABSCESSO",""
"0401010040","ELETROCOAGULACAO DE LESAO CUTANEA",""
"0401010058","EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA",""
"0401010066","EXCISAO E/OU SUTURA SIMPLES DE PEQUENAS LESOES / FERIMENTOS DE PELE / ANEXOS E MUCOSA",""
"0401010074","EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA",""
"0401010082","FRENECTOMIA",""
"0401010090","FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS",""
"0401010104","INCISAO E DRENAGEM DE ABSCESSO",""
"0401010112","RETIRADA DE CORPO ESTRANHO SUBCUTANEO",""
"0401010120","RETIRADA DE LESAO POR SHAVING",""
"0401010139","TRATAMENTO CIRURGICO DE FISTULA DO PESCOCO (POR APROXIMACAO)",""
"0401020010","ENXERTO COMPOSTO",""
"0401020029","ENXERTO DERMO-EPIDERMICO",""
"0401020037","ENXERTO LIVRE DE PELE TOTAL",""
"0401020045","EXCISAO E ENXERTO DE PELE (HEMANGIOMA. NEVUS OU TUMOR )",""
"0401020053","EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO",""
"0401020061","EXERESE DE CISTO BRANQUIAL",""
"0401020070","EXERESE DE CISTO DERMOIDE",""
"0401020088","EXERESE DE CISTO SACRO-COCCIGEO",""
"0401020096","EXERESE DE CISTO TIREOGLOSSO",""
"0401020100","EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO",""
"0401020118","HOMOENXERTIA (ATO CIRURGICO PRE E POS-OPERATORIO)",""
"0401020126","TRATAMENTO CIRURGICO DE ESCALPO PARCIAL",""
"0401020134","TRATAMENTO CIRURGICO DE ESCALPO TOTAL",""
"0401020142","TRATAMENTO CIRURGICO DE HIPERCERATOSE PLANTAR (C/ CORRECAO PLASTICA)",""
"0401020150","TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR",""
"0401020169","TRATAMENTO EM ESTAGIOS SUBSEQUENTES DE ENXERTIA",""
"0402010019","EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL",""
"0402010027","PARATIREOIDECTOMIA",""
"0402010035","TIREOIDECTOMIA PARCIAL",""
"0402010043","TIREOIDECTOMIA TOTAL",""
"0402010051","TIREOIDECTOMIA TOTAL C/ ESVAZIAMENTO GANGLIONAR",""
"0402020014","SUPRARRENALECTOMIA BILATERAL",""
"0402020022","SUPRARRENALECTOMIA UNILATERAL",""
"0403010012","CRANIOPLASTIA",""
"0403010020","CRANIOTOMIA DESCOMPRESSIVA",""
"0403010039","CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR",""
"0403010047","CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO",""
"0403010055","CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (C/ TECNICA COMPLEMENTA",""
"0403010063","CRANIOTOMIA PARA  RETIRADA DE CORPO ESTRANHO INTRACRANIANO",""
"0403010071","CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR)",""
"0403010080","DERIVACAO RAQUE-PERITONEAL",""
"0403010098","DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA",""
"0403010101","DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE",""
"0403010110","DESCOMPRESSAO DE ORBITA POR DOENÇA OU TRAUMA",""
"0403010128","MICROCIRURGIA CEREBRAL ENDOSCOPICA",""
"0403010136","MICROCIRURGIA DA SIRINGOMIELIA",""
"0403010144","RECONSTRUCAO CRANIANA / CRANIO-FACIAL",""
"0403010152","RESSECÇÃO DE MUCOCELE FRONTAL",""
"0403010160","RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE",""
"0403010179","RETIRADA DE PLACA DE CRANIOPLASTIA",""
"0403010187","REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE",""
"0403010195","TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO",""
"0403010209","TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COM SUTURA UNICA",""
"0403010217","TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA",""
"0403010225","TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO",""
"0403010233","TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO",""
"0403010241","TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA",""
"0403010250","TRATAMENTO CIRURGICO DE FISTULA LIQUORICA RAQUIDIANA",""
"0403010268","TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO",""
"0403010276","TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL",""
"0403010284","TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL",""
"0403010292","TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL (COM TECNICA COMPLEMENTAR)",""
"0403010306","TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO",""
"0403010314","TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO",""
"0403010322","TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO",""
"0403010330","TRATAMENTO CIRURGICO DE PLATIBASIA E MALFORMACAO DE ARNOLD CHIARI",""
"0403010349","TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC",""
"0403010357","TREPANACAO CRANIANA  PARA PROPEDEUTICA OU TERAPEUTICA NEUROCIRURGICA (COM TECNICA COMPLEM",""
"0403010365","TREPANACAO CRANIANA PARA PROPEDEUTICA OU TERAPEUTICA NEUROCIRURGICA",""
"0403010390","DRENAGEM LIQUÓRICA LOMBAR EXTERNA",""
"0403020018","ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)",""
"0403020026","ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO)",""
"0403020034","MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE",""
